r.nm	G.of.r	g.of.r
0.001	-0.741079	0
0.002	-1.48216	0
0.003	-2.22324	0
0.004	-2.96431	0
0.005	-3.70539	-2.22045e-16
0.006	-4.44647	0
0.007	-5.18755	0
0.008	-5.92863	0
0.009	-6.66971	0
0.01	-7.41079	1.11022e-16
0.011	-8.15187	2.22045e-16
0.012	-8.89294	0
0.013	-9.63402	0
0.014	-10.3751	0
0.015	-11.1162	0
0.016	-11.8573	0
0.017	-12.5983	0
0.018	-13.3394	0
0.019	-14.0805	0
0.02	-14.8216	-2.22045e-16
0.021	-15.5627	0
0.022	-16.3037	2.22045e-16
0.023	-17.0448	0
0.024	-17.7859	0
0.025	-18.527	0
0.026	-19.268	0
0.027	-20.0091	0
0.028	-20.7502	0
0.029	-21.4913	0
0.03	-22.2324	0
0.031	-22.9734	0
0.032	-23.7145	0
0.033	-24.4556	0
0.034	-25.1967	0
0.035	-25.9378	-2.22045e-16
0.036	-26.6788	0
0.037	-27.4199	0
0.038	-28.161	0
0.039	-28.9021	0
0.04	-29.6431	-2.22045e-16
0.041	-30.3842	-2.22045e-16
0.042	-31.1253	0
0.043	-31.8664	0
0.044	-32.6075	2.22045e-16
0.045	-33.3485	0
0.046	-34.0896	0
0.047	-34.8307	0
0.048	-35.5718	0
0.049	-36.3129	0
0.05	-37.0539	0
0.051	-37.795	2.22045e-16
0.052	-38.5361	0
0.053	-39.2772	0
0.054	-40.0182	0
0.055	-40.7593	0
0.056	-41.5004	0
0.057	-42.2415	0
0.058	-42.9826	0
0.059	-43.7236	0
0.06	-44.4647	0
0.061	-45.2058	0
0.062	-45.9469	0
0.063	-46.688	0
0.064	-47.429	0
0.065	-48.1701	0
0.066	-48.9112	0
0.067	-49.6523	0
0.068	-50.3933	0
0.069	-51.1344	0
0.07	-51.8755	-2.22045e-16
0.071	-52.6166	-2.22045e-16
0.072	-53.3577	0
0.073	-54.0987	0
0.074	-54.8398	-2.22045e-16
0.075	-55.5809	0
0.076	-56.322	0
0.077	-57.0631	0
0.078	-57.8041	0
0.079	-58.5452	0
0.08	-59.2863	-2.22045e-16
0.081	-60.0274	0
0.082	-60.7684	-2.22045e-16
0.083	-61.5095	0
0.084	-62.2506	0
0.085	-62.9917	-2.22045e-16
0.086	-63.7328	0
0.087	-64.4738	0
0.088	-65.2149	2.22045e-16
0.089	-65.956	0
0.09	-66.6971	0
0.091	-67.4382	0
0.092	-68.1792	0
0.093	-68.9203	2.22045e-16
0.094	-69.6614	0
0.095	-70.4025	2.22045e-16
0.096	-71.1435	0
0.097	-71.8846	0
0.098	-72.6257	0
0.099	-73.3668	0
0.1	-74.1079	0
0.101	-74.8489	0
0.102	-75.59	2.22045e-16
0.103	-76.3311	0
0.104	-77.0722	0
0.105	-77.8133	0
0.106	-78.5543	0
0.107	-79.2954	0
0.108	-80.0365	0
0.109	-80.7776	0
0.11	-81.5187	0
0.111	-82.2597	0
0.112	-83.0008	0
0.113	-83.7419	0
0.114	-84.483	0
0.115	-85.224	0
0.116	-85.9651	0
0.117	-86.7062	0
0.118	-87.4473	0
0.119	-88.1884	0
0.12	-88.9294	0
0.121	-89.6705	0
0.122	-90.4116	0
0.123	-91.1527	0
0.124	-91.8938	0
0.125	-92.6348	0
0.126	-93.3759	0
0.127	-94.117	0
0.128	-94.8581	0
0.129	-95.5991	0
0.13	-96.3402	0
0.131	-97.0813	0
0.132	-97.8224	0
0.133	-98.5635	-2.22045e-16
0.134	-99.3045	0
0.135	-100.046	0
0.136	-100.787	0
0.137	-101.528	0
0.138	-102.269	0
0.139	-103.01	0
0.14	-103.751	-2.22045e-16
0.141	-104.492	0
0.142	-105.233	-2.22045e-16
0.143	-105.974	0
0.144	-106.715	0
0.145	-107.456	0
0.146	-108.197	0
0.147	-108.939	0
0.148	-109.68	-2.22045e-16
0.149	-110.421	0
0.15	-111.162	0
0.151	-111.903	0
0.152	-112.644	0
0.153	-113.385	0
0.154	-114.126	0
0.155	-114.867	-2.22045e-16
0.156	-115.608	0
0.157	-116.349	-2.22045e-16
0.158	-117.09	0
0.159	-117.832	0
0.16	-118.573	-2.22045e-16
0.161	-119.314	1.11022e-16
0.162	-120.055	0
0.163	-120.796	0
0.164	-121.537	-2.22045e-16
0.165	-122.278	-2.22045e-16
0.166	-123.019	0
0.167	-123.76	0
0.168	-124.501	0
0.169	-125.242	-2.22045e-16
0.17	-125.983	-2.22045e-16
0.171	-126.724	0
0.172	-127.466	0
0.173	-128.207	0
0.174	-128.948	0
0.175	-129.689	0
0.176	-130.43	2.22045e-16
0.177	-131.171	0
0.178	-131.912	0
0.179	-132.653	0
0.18	-133.394	0
0.181	-134.135	0
0.182	-134.876	0
0.183	-135.617	0
0.184	-136.358	0
0.185	-137.1	-2.22045e-16
0.186	-137.841	2.22045e-16
0.187	-138.582	0
0.188	-139.323	0
0.189	-140.064	-2.22045e-16
0.19	-140.805	2.22045e-16
0.191	-141.546	0
0.192	-142.287	0
0.193	-143.028	0
0.194	-143.769	0
0.195	-144.51	0
0.196	-145.251	0
0.197	-145.992	0
0.198	-146.734	0
0.199	-147.475	-2.22045e-16
0.2	-148.216	0
0.201	-148.957	0
0.202	-149.698	0
0.203	-150.439	-2.22045e-16
0.204	-151.18	2.22045e-16
0.205	-151.921	0
0.206	-152.662	0
0.207	-153.403	-2.22045e-16
0.208	-154.144	0
0.209	-154.885	0
0.21	-155.627	2.22045e-16
0.211	-156.368	0
0.212	-157.109	0
0.213	-157.85	-2.22045e-16
0.214	-158.591	0
0.215	-159.332	0
0.216	-160.073	0
0.217	-160.814	0
0.218	-161.55	3.05109e-05
0.219	-162.289	4.30718e-05
0.22	-163.027	6.05019e-05
0.221	-163.765	8.45634e-05
0.222	-164.5	0.000117607
0.223	-165.234	0.00016275
0.224	-165.964	0.000224102
0.225	-166.691	0.00030705
0.226	-167.414	0.000418609
0.227	-168.129	0.000567864
0.228	-168.836	0.000766511
0.229	-169.532	0.00102951
0.23	-170.214	0.00137586
0.231	-170.876	0.00182961
0.232	-171.514	0.00242092
0.233	-172.121	0.00318741
0.234	-172.688	0.00417572
0.235	-173.206	0.00544329
0.236	-173.66	0.00706038
0.237	-174.035	0.00911236
0.238	-174.313	0.0117023
0.239	-174.469	0.0149536
0.24	-174.477	0.0190133
0.241	-174.304	0.0240549
0.242	-173.91	0.0302822
0.243	-173.251	0.0379321
0.244	-172.274	0.0472784
0.245	-170.918	0.0586346
0.246	-169.114	0.0723571
0.247	-166.783	0.0888472
0.248	-163.837	0.108553
0.249	-160.176	0.13197
0.25	-155.693	0.159641
0.251	-150.268	0.192154
0.252	-143.773	0.230139
0.253	-136.071	0.274262
0.254	-127.017	0.32522
0.255	-116.46	0.383728
0.256	-104.247	0.450511
0.257	-90.2223	0.526286
0.258	-74.2329	0.611749
0.259	-56.1317	0.707555
0.26	-35.7817	0.814295
0.261	-13.0602	0.932478
0.262	12.1358	1.0625
0.263	39.8849	1.20464
0.264	70.2357	1.359
0.265	103.202	1.52551
0.266	138.758	1.7039
0.267	176.834	1.8937
0.268	217.311	2.09416
0.269	260.019	2.30433
0.27	304.736	2.52298
0.271	351.184	2.74864
0.272	399.032	2.97959
0.273	447.898	3.21387
0.274	497.351	3.44934
0.275	546.916	3.68363
0.276	596.08	3.91428
0.277	644.304	4.13868
0.278	691.026	4.35417
0.279	735.675	4.5581
0.28	777.683	4.74783
0.281	816.494	4.92087
0.282	851.576	5.07484
0.283	882.436	5.20758
0.284	908.628	5.31722
0.285	929.766	5.40215
0.286	945.529	5.46113
0.287	955.674	5.49328
0.288	960.04	5.49814
0.289	958.55	5.47561
0.29	951.215	5.42605
0.291	938.134	5.35018
0.292	919.49	5.24913
0.293	895.546	5.12435
0.294	866.64	4.97765
0.295	833.174	4.81109
0.296	795.609	4.62697
0.297	754.448	4.42775
0.298	710.23	4.21602
0.299	663.514	3.99443
0.3	614.873	3.76567
0.301	564.874	3.53233
0.302	514.074	3.29697
0.303	463.009	3.06197
0.304	412.18	2.82957
0.305	362.053	2.6018
0.306	313.045	2.38045
0.307	265.528	2.1671
0.308	219.818	1.96305
0.309	176.179	1.76936
0.31	134.819	1.58685
0.311	95.8954	1.41608
0.312	59.5137	1.25739
0.313	25.7323	1.11094
0.314	-5.43328	0.976651
0.315	-34.0064	0.854325
0.316	-60.044	0.7436
0.317	-83.6313	0.644004
0.318	-104.877	0.554971
0.319	-123.907	0.475867
0.32	-140.863	0.406007
0.321	-155.892	0.344678
0.322	-169.149	0.291157
0.323	-180.79	0.244722
0.324	-190.967	0.204669
0.325	-199.829	0.170319
0.326	-207.52	0.141029
0.327	-214.175	0.116194
0.328	-219.92	0.0952561
0.329	-224.87	0.0777024
0.33	-229.132	0.063068
0.331	-232.803	0.0509349
0.332	-235.967	0.0409312
0.333	-238.702	0.0327285
0.334	-241.075	0.0260394
0.335	-243.144	0.0206142
0.336	-244.959	0.0162381
0.337	-246.565	0.0127273
0.338	-247.996	0.00993438
0.339	-249.288	0.00771451
0.34	-250.464	0.00596422
0.341	-251.547	0.0045928
0.342	-252.555	0.00352564
0.343	-253.503	0.00270198
0.344	-254.403	0.00207277
0.345	-255.263	0.00159892
0.346	-256.093	0.00124977
0.347	-256.897	0.00100178
0.348	-257.679	0.000837494
0.349	-258.444	0.000744691
0.35	-259.192	0.000715767
0.351	-259.924	0.000747271
0.352	-260.641	0.00083963
0.353	-261.34	0.000997024
0.354	-262.02	0.00122741
0.355	-262.677	0.0015427
0.356	-263.307	0.00195899
0.357	-263.904	0.00249705
0.358	-264.462	0.00318274
0.359	-264.97	0.00404766
0.36	-265.423	0.00511801
0.361	-265.799	0.00646622
0.362	-266.09	0.0081289
0.363	-266.276	0.0101682
0.364	-266.339	0.0126558
0.365	-266.254	0.0156735
0.366	-265.996	0.0193141
0.367	-265.535	0.0236818
0.368	-264.837	0.0288926
0.369	-263.867	0.0350745
0.37	-262.582	0.0423669
0.371	-260.94	0.0509206
0.372	-258.893	0.0608965
0.373	-256.392	0.0724641
0.374	-253.383	0.0857996
0.375	-249.813	0.101083
0.376	-245.627	0.118496
0.377	-240.771	0.138217
0.378	-235.191	0.160417
0.379	-228.836	0.185255
0.38	-221.663	0.212874
0.381	-213.629	0.243391
0.382	-204.704	0.276898
0.383	-194.866	0.313448
0.384	-184.104	0.353056
0.385	-172.419	0.395688
0.386	-159.831	0.441259
0.387	-146.374	0.489628
0.388	-132.098	0.540592
0.389	-117.074	0.593888
